component,jtl_article_number
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,CPU-i7-7700
HL-DT-ST HL-DT-ST DVDROM DH16NS30-HDD-sata-1GB,DVD-Brenner
ATA WD Blue SA510 2.5 1000GB-SSD-sata-1000GB,SSD-1TB-2-5
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,CPU-i5-7400
B450M-A PRO MAX II (MS-7C52),MAB-B450-AMD
10DU0015MH,Nicht im WAWI
9905622-058.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
9905743-220.A00G - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
hp hp DVD-RAM GH80N-HDD-sata-1GB,DVD-Brenner
9905471-081.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
hp hp DVD A DH16AFSH-HDD-sata-1GB,DVD-Brenner
CMV8GX3M1A1600C11 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
99U5471-060.A00LF - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
NVIDIA GeForce RTX 4060 Ti,GRA-RTX4060TI
MK2PowerAMD,PC-MK2-Power-AMD
HMT451U6BFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
HP698650-154-MCN - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
hp hp DVD-RAM GH40L-HDD-sata-1GB,DVD-Brenner
F4-3200C16-16GIS - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
ATA SSD_M.2_1TB_InnovationIT_QLC-SSD-sata-1024GB,SSD-1TB-2-5
UltraV2AMD_W,PC-Ultra-V2-AMD
hp hp DVD-RAM SW830-HDD-sata-1GB,DVD-Brenner
9905743-150.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
DDR3 PC 8G 1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
TSSTcorp TSSTcorp CDDVDW SH-222AB-HDD-sata-1GB,DVD-Brenner
99U5471-054.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
9905678-027.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
9905471-030.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ASUS DRW-24F1ST d-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH24NSD0-HDD-sata-1GB,DVD-Brenner
INNO124308 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
TEAC TEAC DV-W5600S-HDD-sata-1GB,DVD-Brenner
SAMSUNG MZVKW1T0HMLH-00000-SSD-nvme-1024GB,SSD-M2-1TB
HL-DT-ST HL-DT-ST DVDRAM GH70N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GH40N-HDD-sata-1GB,DVD-Brenner
9905403-577.A00G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378A5244CB0-CRC - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-4GB,RAM-4GB-DDR4
BasicV2AMD,PC-Basic-V2-AMD
8ATF1G64HZ-2G3B1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
PLDS PLDS DVD+/-RW DH-16AES-HDD-sata-1GB,DVD-Brenner
ATA ESSENCORE SATA SSD-SSD-ata-256GB,SSD-240GB-2-5
HL-DT-ST HL-DT-ST DVDRAM GH24NSD1-HDD-ata-1GB,DVD-Brenner
CT16G4DFRA32A.M8FF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
hp hp DVD-RAM GH60L-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-STDVD-RAM GH70N-HDD-sata-1GB,DVD-Brenner
